ma_shop_n, metroarian, ma_ptrans, ucl_code, ma_edu, ucl_name, metroariac, ma_shop, ma_edu_n, ma_hlth_n, ma_hlth, ma_ptransn, ma_fpost_n, ma_fpost, sa1no
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110834"
"High Accessibility","Very High Accessibility",1,201001,2,"Melbourne",1,2,"High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110835"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110836"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110837"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110838"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110839"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110840"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110841"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110842"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20601110843"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110844"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110845"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20601110846"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"High Accessibility","Very High Accessibility",1,"20601110847"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110848"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110849"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110850"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110851"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110852"
"High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"High Accessibility","High Accessibility",2,"20601110853"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110854"
"High Accessibility","High Accessibility",3,201001,1,"Melbourne",2,2,"Very High Accessibility","Very High Accessibility",1,"Moderate Accessibility","High Accessibility",2,"20601110855"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","High Accessibility",2,"20601110856"
"High Accessibility","High Accessibility",4,201001,1,"Melbourne",2,2,"Very High Accessibility","Very High Accessibility",1,"Low Accessibility","High Accessibility",2,"20601110857"
"High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,2,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110858"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","High Accessibility",2,"Very High Accessibility","Very High Accessibility",1,"20601110859"
"Very High Accessibility","Very High Accessibility",2,201001,1,"Melbourne",1,1,"Very High Accessibility","High Accessibility",2,"High Accessibility","Very High Accessibility",1,"20601110860"
"Very High Accessibility","Very High Accessibility",1,201001,1,"Melbourne",1,1,"Very High Accessibility","Very High Accessibility",1,"Very High Accessibility","Very High Accessibility",1,"20601110901"
