Uni, Yr_12, emppoprati, NAME_2006, Cert, median06, SSC2006
0.105965,0.591865,0.72132,"Wyndham Vale",0.302171,38674.92479,21743
0.235908,0.449269,0.770547,"Yallambie",0.314823,47289.00171,21745
0.325345,0.445168,0.73322,"Yarraville",0.229487,46422.73561,21747
0.0826,0.630608,0.628992,"Bell Park",0.286792,28891.37743,22006
0.080464,0.644436,0.637581,"Bell Post Hill",0.2751,30312.84283,22011
0.191378,0.494332,0.689758,"Belmont",0.31429,34262.72988,22016
0.085145,0.663043,0.579422,"Breakwater",0.251812,25859.3386,22021
0.050658,0.724868,0.55677,"Corio",0.224474,25166.48055,22026
0.356083,0.41543,0.731343,"Drumcondra",0.228487,49891.55437,22031
0.254511,0.434473,0.738287,"East Geelong",0.311016,40200.7775,22036
0.288861,0.425603,0.747508,"Geelong",0.285536,42841.76394,22041
0.250282,0.459605,0.698247,"Geelong West",0.290113,39610.67769,22046
0.139195,0.537225,0.717202,"Grovedale",0.323581,34821.24834,22051
0.158875,0.522358,0.709831,"Hamlyn Heights",0.318767,36139.22568,22056
0.134082,0.54873,0.698169,"Herne Hill",0.317188,33191.97415,22061
0.283391,0.408025,0.74497,"Highton",0.308584,42960.49959,22066
0.100733,0.591575,0.743119,"Lovely Banks",0.307692,34369.57134,22071
0.260274,0.456621,0.722644,"Manifold Heights",0.283105,41338.88888,22076
0.088737,0.573379,0.695804,"Marshall",0.337884,35129.02409,22081
